ID,Year,Month,Day,Type,Dead,Dead Perpetrator,Injured,Injured Perpetrator,Country,City,Perpetrator
954,2018,5,23,shooting,1,,1,, India,Sukma district,CPI
955,2018,5,23,shooting,35,,Unknown,, Syria,Mayadin District,Islamic State
956,2018,5,23,bombing,0,,1,, Turkey,Kozluk,PKK
957,2018,5,23,bombing,0,,3,, Afghanistan,Kabul,Taliban (suspected)
958,2018,5,23,suicide bombing,7,1,16,, Iraq,Baghdad,Islamic State
959,2018,5,24,arson,0,,0,, Chile,Malleco Province,Mapuche Activists
960,2018,5,24,shooting,12,,12,, Afghanistan,Shirin Tagab District,Taliban
961,2018,5,24,kidnapping,12,,12,, Afghanistan,Shirin Tagab District,Taliban
962,2018,5,24,bombing,4,,2,, Afghanistan,Saydabad District,Taliban (suspected)
963,2018,5,24,bombing,1,,1,, India,Sukma district,CPI
964,2018,5,24,grenade attack,0,,5,, India,Jammu,Tehreek-ul-Mujahideen
965,2018,5,24,grenade attack,0,,0,, India,Srinagar,Tehreek-ul-Mujahideen
966,2018,5,24,bombing,2,,3,, Turkey,Şemdinli,PKK
967,2018,5,24,car bombing,7,,24,, Libya,Benghazi,Islamic State
968,2018,5,24,shooting,5,14,13,, Democratic Republic of the Congo,Beni,Allied Democratic Forces
969,2018,5,25,grenade attack,0,,0,, India,Kulgam district,Jaish-e-Mohammed (suspected)
970,2018,5,25,stabbing,1,,0,, India,Bandipora district,Lashkar-e-Taiba
971,2018,5,26,shooting,0,,0,, India,Kulgam district,Hizbul Mujahideen (suspected)
972,2018,5,26,bombing,0,,0,, Colombia,Chapinero,MRP
973,2018,5,26,shooting,20,,2,, Mali,Talataye,Islamic State (suspected)
974,2018,5,26,shooting,0,1,3,, Philippines,Lupon,New People's Army
975,2018,5,26,car bombing,5,,50,, Syria,Idlib,Islamic State
976,2018,5,26,shooting,1,,1,, Thailand,Ra-ngae District,Barisan Revolusi Nasional (suspected)
977,2018,5,27,suicide car bombing,8,1,12,, Afghanistan,Nad Ali District,Taliban
978,2018,5,27,executions,10,,0,, Mozambique,Palma District,Ansar al-Sunna
979,2018,5,27,arson,0,,0,, Italy,Roveré della Luna,Anarchists
980,2018,5,27,suicide bombings,3,2,7,, Nigeria,Konduga,Boko Haram
981,2018,5,27,shooting,2,2,4,, Pakistan,Quetta,Islamic State
982,2018,5,27,shooting,2,,0,, India,Kakapora,Jaish-e-Mohammed
983,2018,5,28,arson,0,,0,, Colombia,Convención,FARC dissidents
984,2018,5,28,shooting,1,2,1,, Afghanistan,Gardez,Taliban
985,2018,5,28,shooting,0,,+4,, Nigeria,Jalingo,Fulani herdsmen
986,2018,5,28,melee attack,0,,+4,, Nigeria,Jalingo,Fulani herdsmen
987,2018,5,28,bombing,0,,3,, India,Shopian district,Jaish-e-Mohammed
988,2018,5,28,shooting,1,,0,, Nigeria,Askira/Uba,Boko Haram
989,2018,5,28,melee attack,4,1,4,, Belgium,Marche-en-Famenne and Liège,Islamic State
990,2018,5,28,stabbing,4,1,4,, Belgium,Marche-en-Famenne and Liège,Islamic State
991,2018,5,28,shooting,4,1,4,, Belgium,Marche-en-Famenne and Liège,Islamic State
992,2018,5,28,hostage taking,4,1,4,, Belgium,Marche-en-Famenne and Liège,Islamic State
993,2018,5,29,shooting,1,,0,, India,Pulwama district,Hizbul Mujahideen (suspected)
994,2018,5,29,rocket attack,0,,0,, Israel,Eshkol Regional Council,Hamas
995,2018,5,29,bombing,0,,1,, Pakistan,Bajaur Agency,Tehrik-i-Taliban Pakistan
996,2018,5,29,shooting,1,,3,, Somalia,Qandala District,Islamic State
997,2018,5,29,shooting,4,,9,, Afghanistan,Dand Aw Patan District,Taliban
